rank,itemName,itemPrice,shopName,genreId
1,中古ノートパソコン Windows10 ssd 新品 120GB 中古パソコン ノート Windows10 おまかせパソコン Celeron900相当または以上 CPU メモリ 4GB 無線LAN DVDマルチドライブ Office付き Windows10 ノートパソコン 180日安心保証 中古 パソコン ノートPC,13666,マンツウオンラインショップ,100040
2,【HD720P 外付WEBカメラ付】【月間ランキング1位】設定不要！すぐに使える！ノートパソコン パソコン ノートPC 電話相談サポート本追加可 Windows10 Win10 メモリ4GB Celeron 15.6インチワイド DVDROM Office付 30日保証【中古】,12800,パソコン総合ショップ　OA-PLAZA,100040
3,【あす楽】【安心の日本製】【KBカバー付】ノートパソコン 中古パソコン 富士通 FMV LifeBook Corei5 15.6インチ SSD256GB メモリ8GB Win10 DVDマルチ 無線LAN Office 外付けテンキー選択可【WEBカメラ付】【中古】【除菌スプレープレゼント】,29800,パソコン総合ショップ　OA-PLAZA,100040
4,今だけポイント5倍!【選ばれて安心No.1】 楽天1位! ノートパソコン 中古 Office付き 8GB Corei5 新品SSD マニュアル付 安心サポート込み! 初期設定不要! すぐ使える! パソコン Windows10 大画面 HDMI 中古パソコン 店長おまかせNECノート 15型 中古ノートパソコン ノートPC,29999,中古パソコン　くじらや,100040
5,【5/16 1:59までポイント5倍】直販 ノートパソコン：Lenovo Chromebook S330 MediaTek MT8173C CPU搭載(14.0型 HD/4GBメモリー/32GB eMMC/Chrome OS/Officeなし/ビジネスブラック) 送料無料,19800,レノボ・ショッピング　楽天市場店,100040
6,新品 ノートパソコン office2019 付き Windows10 Pro オフィス搭載 15.6インチ Wi-Fi WEBカメラ内蔵【到着後レビューでプレゼント】,44800,いい買い物本舗,100040
7,Core i5 8GBメモリ 512GB SSD PCIe規格 指紋認証 WEBカメラ 無線LAN Wi-Fi 6 14型 フルHD IPS タッチパネル HP Pavilion 14 (型番:2D6N8PA-AADP) ノートパソコン Office付き 新品 （WPS Office） 第11世代Core i5 SAKURA,83500,HP Garage Store（HP公式ストア）,100040
8,【土日も発送】【ポイント5倍】【ランキング1位受賞】【初心者でもすぐ使える】【Windows10ガイドブック】【テンキー付】中古ノートパソコン Celeron 第四世代 NEC VersaPro VK20 メモリ 4GB HDD 320GB 15.6インチ 新品キーボード 交換可 DVD-ROM 無線LAN 中古 パソコン,12800,中古パソコン　遼南商店,100040
9,【日本製】【あす楽】【WEBカメラ付】【ウィルス対策にKBカバー】【今だけメモリ8GB】ノートパソコン 【今なら 富士通製】 ノートPC 新品SSD512GB メモリ8GB 15.6インチ 第四世代 Corei5 Windows10 外付テンキー選択可 中古PC 【30日保証 中古】【除菌スプレープレゼント】,39800,パソコン総合ショップ　OA-PLAZA,100040
10,楽天2020年間ランキングNo.1PC! 【安心180日保証】 中古 パソコン 新品 SSD 480GB メモリ 8GB 第3世代 Core i5提供 第4世代に変更も対応 中古ノートパソコン Windows10 店長オススメ 超高速SSD おまかせ 15.6型 無線LAN DVDマルチドライブ office付き ノートPC,29800,マンツウオンラインショップ,100040
11,ASUS　エイスース C223NA-GJ0018 ノートパソコン Chromebook （クロームブック） C223NA グレー [11.6型 /intel Celeron /eMMC：32GB /メモリ：4GB /2020年6月モデル][11.6インチ 新品],19806,楽天ビック（ビックカメラ×楽天）,100040
12,【 最大180日保証 Webカメラ付属 】 光速 ノートPC 富士通 / 新品 SSD 480GB / Corei5 / メモリ8GB / office付き / DVD書込 / wifi内蔵 / 15.6ワイド / Windows10 / ノートパソコン / 中古 ) 【 パソコン 】【 中古ノートパソコン 】【 送料無料 】,29800,中古パソコンのロケットスタイル,100040
13,Ryzen7 16GBメモリ 512GB高速SSD 15.6型 タッチ式 HP ENVY x360 15（型番：3J119PA-AAHU）指紋認証 ノートパソコン office付き 新品 (2020年7月モデル）,139500,HP Directplus楽天市場店,100040
14,新品 ノートパソコン office2019 付き Windows10 Pro オフィス搭載 14.1インチ WEBカメラ内蔵 【到着後レビューでプレゼント！】 【平日15時、土日祝12時まで即日発送！】※即日発送の締切時間は注文ではなく決済確認が取れたタイミング,37800,いい買い物本舗,100040
15,[ポイント5倍 あす楽] 中古 ノートパソコン 15.6型 富士通 Office付 FMV FUTRO MA574 Windows10 Celeron メモリ4GB HDD320GB 無線LAN Bluetooth USB3.0 中古 ノートPC パソコン ノート 中古パソコン 中古PC Win10 オフィス 格安 WPS Office 【★安心30日保証】,13800,中古パソコン専門ストア HHHT,100040
16,【6月上旬頃】【当店ポイント3倍】【売れ筋商品】dynabook AZ66/MG(W6AZ66BMGC)(Windows 10/Office付き/16.1型ワイドFHD 高輝度・高色純度・広視野角 /Core i7-10510U /ブルーレイ/デュアルストレージ(256GB SSD+ 1TB HDD)/サテンゴールド),130680,Dynabook Direct　楽天市場店,100040
17,Ryzen7 16GBメモリ 512GB高速SSD 15.6型 タッチ式 HP ENVY x360 15（型番：3J119PA-AAFS）指紋認証 ノートパソコン office付き 新品 (2020年7月モデル）,119500,HP Directplus楽天市場店,100040
18,Microsoft THH-00045 Surface Laptop Go i5／8／128 サンドストーン,96580,ヤマダ電機　楽天市場店,100040
19,マイクロソフト Surface Laptop Go i5/8GB/128GB THH-00045 サンドストーン,95700,ケーズデンキ　楽天市場店,100040
20,【5月中旬頃】【当店ポイント3倍】【売れ筋商品】dynabook PZ/HPB(W6PHP5BZDB)(Windows 10/Office付き/15.6型ワイドFHD 広視野角 /Core i5-1135G7 /256GB SSD/ブラック),94380,Dynabook Direct　楽天市場店,100040
21,ASUS　エイスース ノートパソコン スレートグレー X545FA-BQ138T [15.6型 /intel Core i3 /SSD：512GB /メモリ：8GB /2020年2月モデル][15.6インチ WPS office付き 新品 windows10],61813,楽天ビック（ビックカメラ×楽天）,100040
22,【あす楽】中古パソコン ノートパソコン Windows10 A4 ノートPC 店長おまかせ 送料無料【インバースおまかせシリーズ 中古 1年保証 簡単設定! ECOぱそ Office付 お試し購入OK 即日〜翌日発送 高評価レビュー多数 プロにお任せ】【ヤマダ ホールディングスグループ】,13800,ショップ・インバース楽天市場店,100040
23,ノートパソコン 店長おまかせ Windows10 Windows7 東芝 富士通 NEC DELL HP等 Core2世代Celeron メモリ4GB HDD250GB以上 大画面 DVD WiFi WPS Office付 ノートPC 中古パソコン 中古ノートパソコン【中古】【訳有特価】,9800,パソコンショップ プラン,100040
24,Ryzen7 16GBメモリ 512GB高速SSD 13.3型 タッチ式 HP ENVY x360 13（型番：3N945PA-AABB）指紋認証 ノートパソコン office付き 新品 (2020年7月モデル）,117000,HP Directplus楽天市場店,100040
25,DELL デル ノートパソコン Inspiron 15 5000 プレミアム 15.6型FHD/ 第3世代 Ryzen 5 4500U/メモリ 8GB/SSD 256GB/Windows 10/Office 付き/シルバー 【新品】,89800,BJY通販ショップ,100040
26,【5/16 1:59までポイント5倍】直販 ノートパソコン：Lenovo IdeaPad Slim 550 AMD Ryzen 5搭載(14.0型 FHD/8GBメモリー/256GB SSD/Windows10/Officeなし/プラチナグレー)【送料無料】,67716,レノボ・ショッピング　楽天市場店,100040
27,富士通 ノートパソコン Office付き 新品 同様 SSD Core i5 16GBメモリ SSD 256GB 15.6インチ HD DVD-RWWebカメラ WPS Office搭載 Windows10 FMV FUJITSU LIFEBOOK A5510/D FMVA82001 無線LAN 訳あり,65000,PREMIUM　STAGE,100040
28,テレワークに最適 富士通 LifeBook S935 第五世代Core-i5 RAM:6GB 新品SSD:256GB 正規版Office付き 13.3インチワイド 無線内蔵 USB3.0 Webカメラ 中古パソコン Win10 ノートパソコン Windows10 Pro 64bit FMV 在宅ワーク zoom対応,35000,BTOパソコン専門店のPC-MAX,100040
29,今だけポイント5倍! 余裕の強力性能ならコレ! ノートパソコン 中古 16GB 新品爆速SSD 512GB マニュアル付き 安心サポート込み! 初期設定不要! すぐ使える! テンキー Windows10 Office付き 店長おまかせ強力性能ノート 中古パソコン 中古ノートパソコン,39999,中古パソコン　くじらや,100040
30,1W5B8PA-AAAA HP（エイチピー） Celeron N4020 4GBメモリ 128GB SSD ノートパソコン 15.6型 IPS HP15s-fq 薄型 ピュアホワイト,39800,Joshin web 家電とPCの大型専門店,100040
